"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 02 15:04:51 GMT 2024","Sun Jun 02 15:04:51 GMT 2024","1","API Regression Suite","API Regression Test","com.example.teamcity.api.NamingProjectTest","com.example.teamcity.api.NamingProjectTest","canNotBeCreatedProjectWithTheSameProjectId","canNotBeCreatedProjectWithTheSameProjectId",""
"broken","Sun Jun 02 15:04:51 GMT 2024","Sun Jun 02 15:04:51 GMT 2024","1","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"broken","Sun Jun 02 15:04:51 GMT 2024","Sun Jun 02 15:04:51 GMT 2024","0","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateProject","projectAdminShouldHaveRightsToCreateProject",""
"broken","Sun Jun 02 15:04:51 GMT 2024","Sun Jun 02 15:04:51 GMT 2024","0","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"broken","Sun Jun 02 15:04:51 GMT 2024","Sun Jun 02 15:04:51 GMT 2024","1","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
"broken","Sun Jun 02 15:04:51 GMT 2024","Sun Jun 02 15:04:51 GMT 2024","1","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectViewerShouldSeeBuildConfig","projectViewerShouldSeeBuildConfig",""
"broken","Sun Jun 02 15:04:51 GMT 2024","Sun Jun 02 15:04:51 GMT 2024","0","UI Suite (0)","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","authorizedUserShouldBeAbleCreateNewBuildConfig","authorizedUserShouldBeAbleCreateNewBuildConfig",""
"broken","Sun Jun 02 15:04:07 GMT 2024","Sun Jun 02 15:04:07 GMT 2024","954","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"broken","Sun Jun 02 15:04:39 GMT 2024","Sun Jun 02 15:04:41 GMT 2024","1069","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"broken","Sun Jun 02 15:04:51 GMT 2024","Sun Jun 02 15:04:51 GMT 2024","0","UI Suite (0)","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithExistingName","authorizedUserShouldNotBeAbleCreateNewProjectWithExistingName",""
"broken","Sun Jun 02 15:04:51 GMT 2024","Sun Jun 02 15:04:51 GMT 2024","0","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightToCreateBuildConfigToHisProject","projectAdminShouldHaveRightToCreateBuildConfigToHisProject",""
"broken","Sun Jun 02 15:04:51 GMT 2024","Sun Jun 02 15:04:51 GMT 2024","1","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectDeveloperShouldSeeBuildConfig","projectDeveloperShouldSeeBuildConfig",""
"broken","Sun Jun 02 15:04:51 GMT 2024","Sun Jun 02 15:04:51 GMT 2024","0","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectDeveloperShouldNotHaveRightsToCreateProject","projectDeveloperShouldNotHaveRightsToCreateProject",""
"broken","Sun Jun 02 15:04:51 GMT 2024","Sun Jun 02 15:04:51 GMT 2024","0","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","agentManagerShouldNotHaveRightsToCreateProject","agentManagerShouldNotHaveRightsToCreateProject",""
"broken","Sun Jun 02 15:04:51 GMT 2024","Sun Jun 02 15:04:51 GMT 2024","1","API Regression Suite","API Regression Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","buildconfigurationTest","buildconfigurationTest",""
"broken","Sun Jun 02 15:04:51 GMT 2024","Sun Jun 02 15:04:51 GMT 2024","1","UI Suite (0)","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"broken","Sun Jun 02 15:04:51 GMT 2024","Sun Jun 02 15:04:51 GMT 2024","1","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","agentManagerShouldSeeBuildConfig","agentManagerShouldSeeBuildConfig",""
"broken","Sun Jun 02 15:04:51 GMT 2024","Sun Jun 02 15:04:51 GMT 2024","1","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectViewerShouldNotHaveRightsToCreateProject","projectViewerShouldNotHaveRightsToCreateProject",""
