"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","1","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","agentManagerShouldNotHaveRightToCreateBuildConfigToHisProject","agentManagerShouldNotHaveRightToCreateBuildConfigToHisProject",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","1","UI Suite (0)","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProject","authorizedUserShouldBeAbleCreateNewProject",""
"broken","Sun Jun 02 17:29:17 GMT 2024","Sun Jun 02 17:29:17 GMT 2024","0","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","afterTest","afterTest",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","1","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectDeveloperShouldNotHaveRightToCreateBuildConfigToHisProject","projectDeveloperShouldNotHaveRightToCreateBuildConfigToHisProject",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","0","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectViewerShouldNotHaveRightToCreateBuildConfigToHisProject","projectViewerShouldNotHaveRightToCreateBuildConfigToHisProject",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","0","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectViewerShouldNotHaveRightsToCreateProject","projectViewerShouldNotHaveRightsToCreateProject",""
"broken","Sun Jun 02 16:52:48 GMT 2024","Sun Jun 02 16:52:49 GMT 2024","1090","Surefire suite","Surefire test","com.example.teamcity.ui.SetupFirstStartTest","com.example.teamcity.ui.SetupFirstStartTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","1","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightToCreateBuildConfigToHisProject","projectAdminShouldHaveRightToCreateBuildConfigToHisProject",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","0","API Regression Suite","API Regression Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldHaveRightsToCreateProject","projectAdminShouldHaveRightsToCreateProject",""
"broken","Sun Jun 02 17:38:18 GMT 2024","Sun Jun 02 17:38:18 GMT 2024","0","UI Suite (0)","UI Test","com.example.teamcity.ui.CreateNewProjectTest","com.example.teamcity.ui.CreateNewProjectTest","authorizedUserShouldNotBeAbleCreateNewProjectWithExistingName","authorizedUserShouldNotBeAbleCreateNewProjectWithExistingName",""
